CHEK1 BABAM2
JUN H2BC1
TRIM36 TRIM41
PENK RGR
PSMD12 35556781
GNGT1 GNG8
MRPL51 MRPL47
CHD1 CREBBP
RAB5B TMC6
RPL41 RPS19
H2AC18 H3C7
RPS15A RPS28
WNT4 WNT10A
PSMC6 GMNN
79296 OR4F17
PSME1 LONRF1
CDC23 ANAPC10
ALDOA CFD
GNGT2 PPP3R1
TIMM17B CHCHD4
OPHN1 VAV2
PSMC5 EIF4A3
IGF2 TGFB2
RANBP2 NUP35
TUBA3C AP1M2
BARD1 SPIDR
OR12D2 OR2J3
RPL35A RPL39L
ARHGEF9 OBSCN
UBE2E1 FBXL15
ZKSCAN5 ZNF704
GPR45 NPSR1
CDC42 PIK3R3
CDC23 PSMD14
NDUFS1 LRPPRC
CCR8 CCL1
BIRC2 PSMD3
CRHR2 GNG7
RPL38 RPS7
PSMB7 PSMD7
H2AC14 H4C14
RPS13 SMG6
ZNF17 ZNF33B
SLC27A2 DPP7
COL5A1 SPARC
POLR2K TNRC6B
HLA-B PLD1
MIF CYFIP1
DLL4 HDAC8
GTF2E1 TAF15
RPL27A RPL35
CFD RAB37
IKBKB NGF
RPL35 PDCD11
GJB6 GJD2
SPTAN1 QPCT
CXCL1 TBC1D10C
PSMD11 FZD7
OR6C75 OR13J1
COL4A1 COL4A3
HLA-C SLC27A2
GALR1 NMU
POLR2D DDX46
PSMA2 TMEM179B
FANCA UBB
HMGB1 MGST1
OR5AC2 OR4A15
BUB3 PSMD14
PSMD11 PSMF1
MRPL23 MRPL14
ADCY8 CCL4L2
H2AC20 SAP130
PSMB3 ANAPC7
F13A1 BATF
PPP2R5B SULT1A3
H3C2 KDM4C
GPC3 GPC1
FGF2 FGF8
OR4S1 OR52L1
NFKB1 GGH
PSAP PTPRB
AAAS NUP188
SUMO2 NUP210
FFAR1 FFAR4
NDUFS3 NDUFAF4
PAFAH1B2 VPS35L
AVPR1B PROKR2
HSPA6 PSMD2
GGPS1 CARM1
AHR TBL1XR1
NPY5R GPSM2
MED26 ZNF544
PTPRJ VCP
PSMB7 TNKS2
UBE2E1 KEAP1
PCNT HAUS8
YEATS2 MEAF6
OR51G1 OR52E8
MAML3 HDAC11
OR4S1 OR56A3
POLR2J H2BC11
RPL39 RPS13
SP100 NUP188
H4C6 ABRAXAS1
PPP2R5C PPP2R5E
OR7E24 OR1L3
OR5T2 OR52Z1
ORM1 CAND1
CYB5R3 MPO
LMO7 PSMC1
RBBP4 EED
SEM1 FBXW11
PSMD5 PSMD11
OR5P2 OR52I2
DYNC1LI2 TAOK1
OR51B5 OR4F15
PSMB7 ASB14
H3C3 TNRC6B
NFKB1 PSMD3
CUL7 UBE2Q1
PSMD11 USP17L19
GP9 VWF
RPS25 RPS27L
RPL18A RPS29
ZNF420 ZNF582
OR2AP1 OR2L8
LRRC8C MMGT1
ZNF500 ZNF671
PMCH GNG13
CCNH PSMC3
MRPL23 MRPL28
RPS4X NOB1
COL4A3 COL7A1
CXCL1 NPY2R
DYNLT1 FGL2
OR10A3 OR9A4
FGF4 SPTB
RAC1 TYROBP
H4C6 H4C14
PRKAA2 RMI2
PSMC1 PSMD12
ATP6V0A1 ARMC8
ADCY2 CCR4
FCGR3B NFAM1
GNG2 GNG12
AGFG1 ITSN1
KRT78 KRTAP4-9
TRA2B PRPF40A
HNRNPH1 PQBP1
RPL30 RPS27L
HMOX1 CCL22
NPY2R PSAP
H2BC21 USP26
DYNC1I2 TUBB3
ADCY9 CCL4L2
H2BC14 H4C13
ELAVL2 PAPOLA
HAUS3 HAUS1
PECAM1 PSMD13
PSMC4 PSMD8
FGB TLN1
OR6K2 OR2AG1
MED30 ZNF420
CD44 NIT2
GTF2H2 POLR2C
KIF2C NDE1
POLR2J H2AJ
NUP98 SATB2
OR2A12 OR4X1
NBN H3-4
UBE2E3 KLHL25
H4C2 H3C14
HOXB2 POLR2G
FZD1 FZD6
NUP205 SATB2
KRT82 TGM1
CYBB PRSS2
KTN1 TMEM132A
ZNF175 ZNF568
C3AR1 MPO
DDX5 PARK7
PRKACG CDC42EP5
ERCC3 POLR2F
REEP5 RTP5
PSAP VAPA
VCAN GZMH
ITGAV TGFB3
CCNF UBE2G1
OR6B3 OR2T3
OR2B2 OR5D13
IGFBP7 H2AC6
NR2F6 PGR
HECTD3 ASB14
PPP2R1A CKAP5
H2AC20 ENY2
E2F3 H4C3
ADCY9 GIP
RPS27 SEPSECS
DYNLL1 TUBB1
CREBBP BBC3
JAG1 CNTN1
AP2S1 TF
ALDOC GGH
KIF21B NAPB
DEFB105A DEFB133
CXCL13 CXCR6
MED17 MED6
APOA2 TF
CCR5 CCL3L1
PTK2 LAMA1
MC2R RLN3
ZNF28 ZNF169
B9D2 CENPL
H2AC18 BECN1
COMMD9 CD177
PRSS3 NPC2
SH3GL1 AAK1
OPN1SW PPY
SLPI PRDX6
GNG4 GNG11
PSMB1 PSME2
RBBP6 UBE2D3
CEP43 TUBB
HSPA8 AP4B1
GSN GGH
POLR2B TAF1L
ZNF74 ZNF668
TPD52L1 BLOC1S4
SLC25A1 HTD2
PSMB8 XPO1
OR1L1 RTP5
RPP30 RPP14
HSP90AA1 RAP2C
MLNR NPB
HVCN1 OSCAR
RAD50 BRCC3
EHMT2 ANAPC11
ANAPC7 UBR1
B2M FLG2
GTF2H2 MDC1
ESR1 POLR2K
PRKAA2 TUBB3
RAB27A STX1A
PSMD4 PSMD5
H3C4 H2AC19
CD58 PSG2
H2BC10 MSL3
GNG7 GNGT2
STK11 SLC38A9
TERF2 H4-16
COPG1 NAPB
ZNF45 ZNF483
H2AC14 H4C11
PPP2R1A NUP133
TUBA1A TCTN1
PSMB9 PSMC5
TNFRSF8 TNFSF13
CUL4B ISY1
SIGLEC5 SIGLEC8
RPL37A RPL14
H2BC13 H2BC7
CYLD H2AC20
OR11H1 OR10Z1
H2AC20 H2BC15
PSMB8 PSMF1
KRTAP2-4 KRT28
PPP2R5D RANBP2
H2AC18 CLSPN
CCND2 E2F2
PSMD10 DCAF7
PSMA2 UBE2C
NDUFC2 RAB18
PSME1 UBAC1
PSMA6 PSMC5
GABBR1 SRC
CAPZA1 HLA-DOB
H3C12 H3C13
PSMA6 PSMD11
H3C10 H4C6
OR5D18 OR51I2
HERC2 DCAF1
LTB4R GNB3
ACOX2 NCOA1
ARF3 GOSR2
ASB3 FBXL14
ZNF446 ZNF680
PSMD1 PSMD3
PSMD10 PSME1
RFC3 AURKB
PSMA6 PSMC1
XPO1 MIS12
NUP98 PPP2R5B
ZNF274 ZNF692
USF1 EBAG9
RPL5 RPS27
H3-3A H4C6
PSMB9 GMNN
AGTR2 CXCL13
PSMB3 PSMD6
OR6C3 OR4K2
MRPS26 MRPL36
KCNJ2 KCNK2
ZNF680 ZNF568
KRT81 KRTAP2-3
DEFB116 
NR1H2 NR1H3
H2BC5 H2BC9
ADRA2A TAS2R13
A1BG FUCA1
CHD1 POLR2C
ZNF224 MED8
POM121 SEH1L
GNAL OR52E2
VDAC3 FKBP8
NUP205 H2AJ
RPL10 RPL36A
NAPB KIF18B
RNF128 USP17L17
RGS13 S1PR5
CDC27 H2AB1
H3C4 KDM4C
NUP107 TGS1
TP53 IKBKG
NUP133 NUP35
DLG4 IL5
COTL1 DOK3
H2BC11 CENPQ
SNRPE CCAR1
OR2A14 OR52H1
RPS15 RPS27A
PSMD12 FZR1
ORC4 PSMD10
H2AX H2AC6
RPL12 RPL10L
GNG11 GNG8
SERPINB1 IDH1
MRPL30 MRPL47
H2AC6 STAG2
COL4A1 PHYKPL
DYNC1LI2 CENPS-CORT
ZNF624 ZNF30
H2AC14 H4C15
SET H2AC4
GNAI2 PTH2
CTSD RAB6A
S100P STBD1
OR5B12 OR4K13
RPL8 PNO1
NUP133 TUBB8
PIAS4 H4-16
H4C1 TSPAN15
OR4A15 OR51A2
OR2T8 OR8K1
UBE2R2 KLHL11
CTSS SEC24A
CAMK2G IL3
PSMB4 PSMD4
H3C2 PYGO1
IRAK4 TLR10
FBXW4 MGRN1
H3-3A H4C12
PSMC6 UBA52
FABP7 FABP12
REEP1 OR1M1
PSMD10 PPARGC1B
GZMH FAM20C
GP1BA VWF
IRF6 CIITA
TAF9 GTF2H5
EP300 MED14
ALOX5 LAIR1
OR2H2 OR2Z1
BDKRB1 P2RY11
UBE2I TEX12
MAPK3 RPS27A
OR4C12 OR2A5
XPO1 NUP210
PLA2G4A GPAT4
DYNC1I2 TUBB1
RPL28 SEC11C
FBN1 SCUBE3
OR6C75 OR6C68
TUBB1 CENPS
FUS CTNNBL1
PRKN H3C14
NRAS PLCG1
GDI2 ARHGAP23
KRT28 KRTAP8-1
H2BC3 USP47
H4-16 H2BU1
SMARCD3 FBXL3
PSMA3 PSMA7
OR10W1 OR51L1
TUBB4B DCTN3
ERBB2 NRG3
PRKAR2B TUBA1A
REEP4 OR6C75
ZNF180 ZNF804B
MED1 ZNF250
FKBP8 CLSPN
ARIH2 UBE2D4
MDM2 SKP2
KRT5 KRTAP8-1
AVPR2 GNG2
PSMB10 H2AC19
PRKAA2 CAB39L
RPS27A AKT3
AGO1 TBL1XR1
ZNF764 ZNF718
BST1 ADGRE3
PLRG1 LSM5
CDC23 PSMD6
MELTF GOLM1
BUB1B KIF2B
ZNF676 ZNF627
TUBB3 SPDL1
GRN SPTAN1
DYNC1H1 TUBB3
GNG5 GNG10
CACNA1F CACNA1S
CTSS MMP3
TAS1R1 TAS2R30
RFC1 RFC5
DEFB114 DEFB136
RPS9 RPS24
RPS19 LHX2
FABP1 ABHD5
DOCK8 CABLES2
CR1 VTN
NEDD8 PSMA4
MUC12 B3GNT3
TFDP2 LIN9
ENO3 ADPGK
SERPINB3 RAB31
CD3G HLA-DPB1
GTF2H1 SUPT4H1
RAC1 ARHGEF18
CR1 FCN1
FFAR3 TBXA2R
OR2T1 OR52E2
CENPK CENPM
CMA1 ENPEP
PSMD8 RPS5
ZNF706 ZNF568
POLR2L H3C14
RGS18 TAS2R41
DEFB105A CCR2
TACR1 FCHO2
UBE2E1 RNF25
RSU1 PARVA
AKT3 ALS2
RNF7 FBXL19
PSMA4 RPS6
RPP38 FTSJ3
RPL9 EIF3K
POLR2F SSRP1
HSPG2 AGRN
CHMP3 RNF103-CHMP3
IL10 PITPNA
AKT1 RPS27A
SYT1 STON1-GTF2A1L
H4C1 H4C2
GBA GLTP
OR2C1 OR9I1
H4C11 H4C8
PSMB8 PSMD11
KIF2A KIF4A
MAD2L1 CENPS-CORT
GAST NPFFR1
PRKACA PSME1
CTSZ PPP6R1
KRT73 KRT26
MAN1A1 COG3
PSMB6 PSMB7
FOS RPS6KA2
UBE2N PSME3
AQP8 NOX4
KPNA1 956535
H4C14 H2BC11
CTSH TICAM2
MAPK3 RASGRP3
RPL9 RPL36
RPL5 RPS17
H2AZ1 H4C8
FGFR3 FGF17
LGALS1 AMTN
PLCB4 TRHR
ADCY2 ADCY4
RBBP4 H4C3
BTC IL3RA
H2AC8 POLR2F
EPHB6 RAC1
RPS3 RPS23
GPSM1 TAS2R46
PLK1 TUBB6
ACTB FOXK1
GRIN2B LIN7C
OR56A1 OR6Y1
CENPA DYNC1LI2
H4C8 H2AB1
PSMB2 PSMC5
CTSE DCTN3
ZNF567 ZNF774
OR3A3 OR2T27
CSNK1A1 PSMD10
H4C3 DMC1
H3C3 H4C8
OR10T2 OR1L8
CAMK2D TUBB3
PADI2 ARHGAP45
TAF5 TAF10
CEP57 SDCCAG8
NUP155 H2BC12
SGK1 CHEK2
HNRNPF POLR2H
CD226 LILRA2
OR4X2 OR8K3
CCNA2 ANAPC2
FGF4 FGF18
KLHL5 FEM1A
MMP1 CAPN7
ZNF747 ZNF750
ATG14 GABARAPL1
RPL10A RPL22L1
NUDC CLASP1
OR5AP2 OR5T3
PSMC1 PSMD10
RAD51B RMI1
EEF2 SLC44A2
GNG3 GNG13
GNB1 PRKCB
ATP1B3 ABCC9
OR4C15 OR2AT4
LTB4R PROKR2
ZFP69 ZNF736
GNG3 PRKG1
H2BC15 H4C6
RAD17 CDK5R1
GNB3 PTGER2
RBBP8 UBC
NUP50 NUP188
ACTG1 NCKAP1L
ZNF761 ZNF729
UBE2V2 H2BC13
CHUK PELI3
PRKAR2B GNG2
TRAPPC1 TBC1D20
CFD TNFAIP6
TBC1D4 TBC1D1
PSMA5 TMEM30A
E2F5 UBC
GRM1 PTAFR
PSMA6 PSMB7
OR11H1 OR56A1
DYNC1I2 KIF2B
TLR2 35556781
H4C2 H2BU1
FGF2 FGFR2
LRRC41 DCUN1D1
LYN MAP3K1
GNB3 PLXNB1
MRPS16 MRPL52
TEAD4 YAP1
AGTR2 NPBWR2
ATG14 RPTOR
IST1 SLC27A2
MBD1 UBE2I
OR11A1 OR2B11
H3C2 
CRHR1 INSL3
PAFAH1B2 KCMF1
ZNF564 ZNF730
PIK3CA PRR5
REEP1 OR52I2
PSMC3 PSMD8
SKIV2L TTC37
CFD SRGN
ZNF484 ZNF619
PSME4 FBXL13
UBE2E1 KIF18A
OR2AT4 OR6C76
PRKAG1 RRAGC
AK5 RRM2B
CBX4 NUP210
H2AZ1 H2BC7
NFYB TBL1XR1
TACR1 HGS
PDE2A PTH2
RUNX1 H4C13
RIPK1 USP2
H2BC14 RNF168
CXCL12 RXFP3
EGFR SPTAN1
PSMD2 PSMB11
ZNF337 ZNF624
AGT CNR1
PSMB8 RPS3
GTF2F1 GTF2H5
CDK1 NSL1
GPR18 CXCR4
RAP2B NFASC
KLRB1 PILRA
CX3CR1 CCL1
PSMA4 FBXL5
SDCBP ARL8A
NUP42 NUP205
DYNC1LI2 PGR
OR13C4 OR4F6
STOM TOM1
BARD1 RAD1
PSMB4 PSMD2
GTF3A GTF3C5
HAUS6 NDE1
H3C4 H3C6
RGS16 RGS6
RPL29 RPL39
OR52E2 OR5M9
NOP56 RPP38
OR2G3 OR4C12
ZNF460 ZNF573
CDC27 PSMB5
GABPA SIRT3
IL18 SOCS5
PPARA ANKRD1
H2AC8 H2BC1
GNGT2 GNB4
COPS2 KLHL41
VEGFD ITGA2B
PDE6A PLCB1
CCL4 ACKR3
OR2J2 OR4K17
MED17 ZNF233
PPIP5K2 IPPK
H4C11 PRMT3
COL3A1 ITGA9
OR4F5 OR52I2
SERPINA3 BST2
PIK3R3 PIK3R5
GRK3 GCGR
PSMA6 ANAPC16
H2BC8 H3C4
H2AC18 H3C11
OR1L8 OR4C3
CALM2 OSTM1
ZNF493 ZNF324B
HDAC2 MET
H2AC8 H4C5
PPP2R1A CEP290
PSMD13 BTRC
H2BU1 H3C15
H2BC5 CENPH
PTK2 SPTA1
ZNF804B ZNF737
MRPL47 MRPS26
SCN3B SPTBN4
KRT8 LCE1B
ZNF268 ZNF484
CEP152 SCLT1
WDR48 PSMB11
PRCP PYGL
RPSA RPS13
ZNF473 ZNF540
RPL34 RPS20
PSMC4 KCTD7
PSMD1 BTRC
CALM3 DLG1
TAF6 TAF11
PTRH2 USP17L21
H2AC18 H3C12
155348 155908
PSMB8 ELOC
BARD1 H2AW
CHML RAB5A
ATP5F1B TIMM10
RING1 PIAS1
TUBB1 TUBB2B
OR2H2 OR4D1
CALR PSMC5
BCAT2 BCKDK
TSFM MRPL36
ALAD HRNR
DCTPP1 AK6
UBA1 UBE2V2
PFKP TPI1
ALOX15 IL1B
ARSA PRDX4
DEFB107A 
 OSCAR
COL4A6 COL9A3
PSMD4 RPS27A
PRDM7 ZNF700
LAT SPTBN4
HLA-F IRF2
PSMB7 PSMD6
RAP1GAP DOK6
KLHL25 KBTBD6
SEM1 ASB9
MDM4 USP21
UBA52 ASB2
H4C6 H4C3
RPL8 RPS21
ITGAX PYCARD
SMAD4 PSMB7
TOP2A SUMO1
ENY2 H2AC21
OR51A7 OR1J1
PSCA TEX101
PMCH PCP2
AREG SEC31A
MMP8 NPC2
NEDD8 H2AC21
FBXO6 FBXO30
CD3E HLA-DRA
CUL1 PSMD14
OR6C74 OR52B6
ENO2 HK1
H2AC8 H3-4
COL4A3 CTSS
FPR2 OLR1
JAK1 PIK3R2
SCNN1D BEST3
HLA-DQB1 PSMD12
OR4A15 OR51I1
MT-ND1 NUBPL
EFNB1 ARPC3
ITGA6 THBS1
SERPINA4 BRPF3
TSPAN5 H2AB1
SBF2 RAB7B
ADRA2C TAS2R30
H2BC6 H4-16
CYP4A11 MED27
CD19 PIK3CD
B2M HLA-DQB1
PIK3R2 DEPDC1B
UBE2W TRIM11
PLA2G1B PLA2G4E
NUP205 NDC1
BGN CHST15
RNF115 FBXL14
EVPL KRT40
SLC66A1 NIPAL1
GNG3 GNGT2
KRT16 KRT83
H4C9 TSPAN5
AKT3 MLST8
OR52N4 OR4F6
MAP2K4 CUL1
OR6C4 OR6C65
H4C8 EED
GYG1 PSMD1
SFN AKT3
F2 GNA14
PSMB3 PSME4
PPP4C UIMC1
HLA-DPB1 TRIM3
PSMC2 FBXW2
OR52R1 OR9G4
KHSRP DCP2
CCR8 GNG8
CENPQ NUP43
APOB CTSG
KLRC2 TREM2
SEC13 ZBED1
POLR2G POU2F1
ZNF138 ZNF611
SF3A1 SRSF10
GALNS TMC6
EAF1 728929
MRE11 H3C1
OR52W1 OR6K3
RPL31 RPS7
GGT1 PTGR1
CHRNB4 TMEM179B
CLCNKA ANO10
ZNF425 ZNF619
OR12D2 OR1J2
OR4L1 OR2L13
MAP2K7 KDM6B
ZNF552 ZNF556
OR2H1 OR4X2
GNAI2 GNG12
FBXW4 FBXW8
PPP2R1A CEP152
H2BC21 H4C5
ZNF250 ZNF555
OR10W1 OR56B4
POLR2F NELFCD
KRT7 KRT23
AGL ORM2
VCL LPCAT1
OR13C5 OR5T1
WNT6 ADGRE3
GADD45A CARM1
H2AC8 H3C3
PSMA4 FBXW8
RANBP2 SEC13
SKP2 AXIN2
GALC GLB1
ZNF707 ZNF705G
GHRL GNG13
DYNLL1 NUP107
CREB1 HDAC2
OR1C1 OR51Q1
CD40LG SLAMF7
RPS14 EIF3F
RAD9A H2BC1
RPL35A SARS1
H2AC6 H4C1
A2M SELP
CALM2 FGA
CCK PIK3R2
VAV1 GNG12
SF3B2 PUF60
COL3A1 COL4A5
CTSA ST6GALNAC4
H2BC3 H2BC11
ZNF440 ZNF626
APOA1 TTN
COL5A1 COL6A2
TRIM25 MAVS
PUM2 DDA1
NUP42 H3C15
ITGA2 ITGB1
UBE2D1 UBE2E1
PSMC4 RNF213
NUP133 TUBA3D
SSRP1 162699
PSMA7 PSMB1
CDC20 PSMA5
MRPL39 MRPL44
PSMC6 TUBA3E
NRAS KL
ZNF141 ZNF607
ZNF101 ZNF721
RBX1 PSMA8
HRAS RASA1
KLHL25 CDC26
TRIM9 FBXL14
SKP2 WWP1
JAG2 RPS27A
SLC29A1 SLC29A4
PHF20 ENY2
KRT86 KRT37
DYNC1I2 DCTN3
PSMD6 TNRC6B
CASQ2 KCNJ11
OR1S2 OR5M9
KRT33B KRTAP9-6
OR8K5 OR1L4
MRPL35 MRPL48
HCAR3 CCL27
TRIM32 FBXO15
H2AC15 INO80D
OR1C1 OR10J1
RBCK1 FBXO30
CHRM2 RGS7
AGXT DAO
DZIP3 TRIM41
H4C1 H3C15
ZNF136 ZIM3
OR2T29 OR4N2
GNAS RGS9
STAT3 H3C13
H2BC10 H2BC11
OR4A5 OR5T3
CCP110 USP17L11
GPR17 GPR68
LAMA5 LAMA1
PSMB5 PSMB9
STOM FCN1
KRT17 KRTAP5-2
SMARCA4 H2AC20
SRP19 SEC61A1
MRPL28 MRPS28
RPL15 RPL30
ZNF747 ZNF540
H2BC21 H2BU1
OR4C16 OR13C2
H2AC4 H2BC6
IFNA16 H3C1
GALR3 TAS2R40
APRT NRAS
PSMA5 PSMB4
POLR2F H2BC10
RPS18 EIF3K
MRPL4 MRPL40
FBXL4 DCAF6
H2AC20 H3C7
COL1A1 COL6A5
PSMF1 ANAPC2
DHX38 CSTF2T
PSMA5 PSME2
POLR2H H3C7
H2BC10 USP17L18
TCN1 PSMD6
FLNA RARRES2
RPSA RPS15
SKP1 UBC
OR8B4 OR2A2
YWHAE CEP63
ATR TOPBP1
AGL HSPA6
OR56B4 OR13H1
RPS11 RPL26L1
S100A7 PPIE
PSMB5 PSMB8
BST2 IP6K2
KRT3 KRTAP21-3
PSMD13 PSME1
H2AZ1 H3C2
ERBB4 H2BC9
CTSZ CNIH1
NCBP2 ESRP1
RPL37A C1D
POLE2 UBA52
KRT72 KRTAP10-3
H2BC9 H4C6
NUP188 NUP133
ZNF343 ZNF563
KIF5A DYNLL1
RPS12 EIF3F
FBXL4 SPSB3
CEACAM8 DOK3
CCNF PSMB9
OR4S2 OR52N5
PAX6 H3C4
MGAM ABCA13
RAD9A H2BC7
OR7A5 OR4K2
AVP IGF2R
OR1E1 OR1E2
PSMA2 LHX3
KRT1 KRTAP13-1
SKP2 FBXL7
AAAS NUP107
DOCK2 NRAS
NDC80 NUP160
PDE4C TAAR8
DCUN1D1 KLHL42
RGS13 OXGR1
UBA52 ISY1-RAB43
ZNF224 ZNF774
H2BC21 MCPH1
KRAS MARK3
TRA2B CWC22
COL1A2 PTPRS
RAB3A CASK
TUBB6 TUBB8
ATP6AP2 PLAC8
OR10Z1 OR13J1
CCZ1 RIN3
CTSL TLL2
CRY1 PER2
SNAPC4 ZC3H8
CCNH PRPF19
PSMA1 PSMD5
CSF2 FGF17
H2BC15 H4C8
KNL1 CENPL
TUBB4B KIF2B
ZNF324 ZNF627
POLR2L PRPF8
PSMB5 RPS9
IRAK1 PTEN
RYR2 ANO2
PSME3 ASB5
NEURL1 DLL1
NCSTN ODAM
MAPK1 RPS6KA2
CNIH1 PPP6R1
REEP1 OR5AR1
POLR2L COPS7B
PSMC5 PSMA8
ZNF74 MED27
RPL17 SLIT1
CFTR HBEGF
RNF114 KCTD6
OR5M11 OR51B5
PSEN1 MAML2
SCMH1 KDM1A
TFDP1 H3C2
ELOC LTN1
ALYREF NUP205
JCHAIN CD163
ERAL1 MRPL4
CARD11 PSMA8
RRAGD ATG9A
ATF2 GREB1
PLK1 ANAPC4
NUP205 NUP133
KMT2A SETD1A
H3C10 H4C3
NCOR1 MIB1
PSMC2 MIS12
SFI1 CEP152
OR8B12 OR2T35
341568 OR4F29
EREG MMP3
PSMD5 MAP3K14
SEC13 NUP160
CDC20 CENPI
DYNLT1 MGAM
CD3G NFKB1
ARNT2 GRHL1
EXOSC9 RPL11
GNB3 EPGN
ZNF563 ZNF92
GNG7 PTH2
COL1A1 COL1A2
OR13C3 OR4D9
FGF1 FGF3
CCKAR GNB2
TERF2IP H2AB1
ART4 GPIHBP1
RPS3 RPS5
DDB1 COMMD4
ZNF75D ZNF705G
RPL18A RPL41
MRPL50 MRPL10
SERPINB10 CD93
WDTC1 COPS4
CD86 FGF3
ETF1 RPL13
USP17L4 USP17L12
VTN COL23A1
CAMK2D TRIM68
CSTF2 POP7
PECAM1 PDXK
H3C3 H3C13
PRKAG2 TUBA3E
OSTF1 RAB44
GNAT2 TAS2R8
ESRRA NR1I3
REEP5 OR5B12
UBC MALT1
TRAF1 TAB1
APLP2 BPIFB2
H2AC13 TOMM70
RNF114 TRIM63
OR5B17 OR4K17
COL3A1 COL9A3
PSMB1 PSMC3
LAIR1 CTSA
CCDC22 ASB11
EXO1 RMI2
GRM1 HTR2A
RPL19 LHX4
CYBA ADGRE3
RPL7A RPL27
EXTL1 FKBP14
REEP2 OR5K4
ZNF343 ZNF582
ZNF586 ZNF484
FCGR1A GBP6
GNB5 QRFP
PSMD5 TLR4
POLD1 RBX1
NDUFB7 SCO1
ITGAX CRACR2A
TOP3A H4C2
TAAR9 TAAR6
CPSF1 FIP1L1
CD36 IGF1
ACTL6A PSMD1
OR4K17 OR6C65
PSMA4 PSME4
MSI1 RPL35
RPL21 RPL32
PSMB6 PSMD1
TIMP1 VWF
CRISP3 FLG2
H2BC15 KDM4B
OR5A1 OR52E6
ZNF416 ZNF431
CD3E CD33
XRCC5 H2BC14
RPL41 RPL23
CASR KNG1
EIF1AX RPS9
ITGAL AGRN
PSMB10 PSMD13
LGALS3 NIT2
CDK8 ZNF75D
ARHGAP6 ARHGAP23
OFD1 HAUS8
PSMC5 USP8
FCGR2A HBB
PGM1 EPM2A
CLEC3B MAGED2
PSMA7 RCE1
ACTG2 SORBS1
KIF2B KLC3
DDA1 FBXO44
PRKN FBXL12
H3C1 TAF1A
PSMD4 PSMA8
OR1D5 OR5T3
PSMB10 TPP2
EPHA5 EPHB4
TBL1X HDAC11
OR8B2 OR5M10
SLC6A14 SLC43A2
E2F1 CBX5
PSMD3 CDC42EP5
DENND4A CCZ1
ZNF77 ZNF320
H3-3A FURIN
MSH6 POLD2
AP2M1 AP1S2
FABP5 ANO6
PSAP SSTR5
AGFG1 VAMP3
ERCC3 POLR2L
RPS27 ZSWIM8
H2BC3 H2AZ2
PSMB5 PSMD11
DTX1 NCSTN
CENPA NDE1
PSMD7 UBC
NEDD4L HECW2
CHUK PSMD12
CD40LG PSMA8
OR6B3 OR13D1
OR9I1 OR52E8
PPP2R1A UBB
COPS6 FBXW5
PSMD2 ANAPC15
OR51E1 OR4C3
ZNF442 ZNF775
PSMA4 PSMA8
PRSS2 ABCA13
ARSB ATP6V0A1
ALOX15 JUNB
CD68 BIN2
CDC20 CLASP2
OR5H6 OR10G7
GHRHR GPR45
PSEN1 UBB
RAD1 EXO1
OR4F3 OR2M3
OR51B2 OR56B1
GAB1 PIK3CB
UBA52 RPL14
H2BC7 ENY2
RPLP0 PSME3
BAP1 H2AC15
APRT ARSA
TFF3 H2BC1
PF4 PROS1
OAS2 TRIM62
H4-16 H2AB1
CTSK TLL2
BABAM1 
CHIT1 PRTN3
RPL17 RPS17
RPS3A DCAF13
MTOR HSPA1B
RGS4 NMUR2
RPS20 RPS24
ARHGDIB TIAM2
UBB CUL4A
OR10H3 OR1L1
RAB3GAP1 DENND1B
TRAPPC1 SLCO4C1
H4C5 H2BC11
KIF11 KIF19
OR8G2P OR2B3
RPS27 PDS5A
UBE2D2 FBXO21
POLR2C FANCI
PSMB7 PSMD10
GNG7 SSTR1
RBL2 RRM2
RPS15 NOL6
CASP14 LCE4A
F2RL2 GALR1
CD59 CTSS
CHD4 H2BC4
HNRNPH2 SNRNP70
IDE USP24
ADORA2A ADRB3
PSMB2 PSMD12
CCP110 CEP290
CUL4A FBXW9
ADGRF5 SFTPA1
RPL5 RPL30
IKBKB SEC61B
TNC ITGAE
KDM3A H3C14
MRPL42 MRPS16
SLC38A3 SLC6A19
NUP98 UBE2C
MFN2 TOMM22
ZNF382 ZNF439
KRBA1 ZNF420
DCN MMP11
MT-ND2 NDUFAF3
GRK3 EPN1
CDC16 ANAPC10
POLR2K SNRNP48
NCBP1 TAF12
HDAC2 H2BC15
CEACAM1 RAP2B
ACTG1 KSR1
HMOX2 PSMD3
NEDD8 KLHL20
RAD1 H3-4
P2RY14 MCHR2
DEK H3C8
RPL8 RRP36
HSPA1B HSPA2
GPSM2 CCL28
POLR2D NDC1
PSMB1 PSMB2
PPIA IST1
ADCY1 RAMP3
PPP2R1A HAUS8
DDX21 H3C13
PSMB6 PREX2
H2BC10 H4C11
PSMD6 TXNDC5
RXRA SLC22A5
CUL1 HDAC4
SOS1 ARHGAP10
UBB UBE2D3
SOCS3 KEAP1
PSMA5 DTL
GABARAP TBC1D7
FGF18 FGF16
GRB2 ERLIN2
KMT2C AJUBA
RPL3 RPL31
MMP9 ATP8B4
CALM1 PF4
H3C1 PHC3
AKT2 FGF17
PSMB3 CUL1
TRIM26 TRIM10
RPL39 RPS18
TUBB6 TUBA3E
LTA4H MANBA
NEDD4 PSMA4
CAV2 EGF
DAB2 VAMP2
H2BC11 UIMC1
PPIA CDK13
OR10AG1 OR56A3
OR8B2 OR13J1
