ZSCAN25 ZNF549
GALNS MIF
PSMB1 PSMC1
NAPG TUBB1
OR1A1 OR10C1
NINL HAUS4
KRT14 KRT6C
ATP6V0C C12orf66
PSMB2 KLHL2
MAP2K7 SYK
OR4K14 OR14A16
OFD1 TUBB4A
RBBP6 UBA52
H2AC7 H3C12
ATF3 EXOSC1
RAD9A KAT5
POLR2L ELL
KRTAP10-1 KRTAP29-1
SMC1A H4C9
H4C8 H2BU1
POLR2C DGCR8
S100A7 VCP
PHC1 ZNF131
PMPCB TIMM9
PROC GP6
ZW10 TUBAL3
TRMT13 ADAT2
PSMC4 DAB2IP
C5AR1 CCL4
H3C6 H4C3
CREBBP DDX5
PSMD13 RASAL3
UBE2N TAB3
UBE2G1 UBE2J2
GABRR1 GABRR3
UBE2D1 H3C2
CD44 MME
KRT3 KRTAP1-5
CXADR ULBP3
POLR2B ELL
H2BC3 UBE2L3
GRM1 LRRTM2
GRSF1 956529
GLMN FBXW7
IVL KRT75
PDK1 PDK4
PSMD3 PSMD7
ANXA2 ROCK1
TSR1 RPL10L
CRK MET
FGF23 FGF18
PSMB10 PSME2
PFDN4 TCP1
HBEGF FGF8
HLA-F RNASEL
ERCC2 H4C2
PTPN11 FGF16
ERAL1 MRPL54
PSMA4 PSME1
RPS19 RPS27L
UBB OTUD5
PSMB9 PSMD7
OR4P4 OR5B12
GALR3 EEF1AKMT4-ECE2
MAPK11 MAPK12
TXNL4A LSM7
OR2AE1 441669
CD4 PSMC3
GNG5 HTR1E
SSTR3 XK
PSMD4 PSMD10
CDK7 POLR2F
OR2H2 441669
ADCY9 RGS6
KLHL9 ASB15
RFC1 RFC4
NDUFB2 NDUFS2
CFL1 SRGN
PRKACG DOK4
PSMB1 TRAF6
HBEGF SRC
ATP7A GPX3
H4C3 H4C2
H2AC20 H2BC15
GPR65 MCHR2
OLR1 CPNE3
DMD TPM4
MED17 ZNF705A
FUS BCAS2
ERCC2 TAF2
NEK2 CEP250
PSMA1 RBBP5
PSME2 STAT4
H4C14 TNIK
PRKAR2B RPGRIP1L
HLA-DRB4 TUBA1A
SKP2 RNF130
PAK1 VAV1
HTR1B HCAR3
EP300 COPS3
CCNE2 NOP56
CUL7 ASB3
POLR2H POLR1H
RPL13 RPL29
RAD1 TOP3A
ARF6 PACSIN3
H2BC7 KAT14
ARHGAP31 ARHGAP22
KLHL3 COPS7A
NR1D1 SIRT1
GAS6 PROS1
ZNF484 ZNF790
GNG7 GNB4
LTBR TNFSF12-TNFSF13
PPP2CA PPP2R1B
TRIM28 ZNF383
CTSB CD93
ZNF562 ZNF585A
AKT3 PHF20
CDK5RAP2 CEP41
RANBP2 NUP85
F2RL2 HTR2A
H2BC3 PSMD10
HLA-E LILRA4
NCOA2 PPARGC1A
TGFB2 TGFB3
PSMA7 RNF4
RPL5 RPL14
RPS14 USP33
LAMTOR3 EED
AP2A1 PRKCB
EZH2 H2AC18
PSMB3 SEM1
ALYREF CLP1
DNMT3A H4C11
ZNF473 ZNF700
ACTB PSMA4
H2BC17 H4C3
H4C6 H4C3
CALM2 IL2RA
H2BC6 H4C13
H3C11 TNRC6B
HSF1 RPA2
H2AC20 PSMF1
LDLR TGFA
RPS3A EIF3G
COPB1 TUBB2B
ADAM8 CD44
H2BC21 H2BC1
ZNF2 ZNF665
RPL4 RPS2
CDC14B AGO4
MFGE8 SAA1
CXCL10 HRH3
SHANK2 LRRTM4
ABL1 BABAM2
H2AC4 H3C12
STAM SH3KBP1
SRSF9 SRRM1
CSNK2B EGFR
PSMB10 PSME1
CDKN2B UBA52
RPL7A RPL19
RPS27A MKRN1
GNAO1 TCP1
OR2V1 OR5D14
CFD S100A11
NUP98 TUBB8
ZNF667 ZNF660
ATP6V0B ATP6V1H
CKAP5 B9D2
MLN TRH
CLCNKB UNC79
TMED2 KIF9
SAMM50 GRPEL1
EXOSC4 NOC4L
NEDD8 MCRS1
XRCC6 RAC1
ATM RPS27A
COL4A5 CTSB
MED10 ZNF540
ALMS1 TUBGCP2
CNOT2 CNOT6
FCAMR ESAM
H2AC20 PSMD14
RPS3 RPS14
CD3G HLA-DQB2
HGF IL1A
OR2H1 OR51M1
RPL8 RPS8
H4C3 NUP205
H4C12 H2BU1
PSMB3 USP20
RNF146 USP44
AVPR2 GLP2R
PRMT5 NUP210
OR5H6 OR51G1
SRP72 RPL13A
TLE3 H4C11
NDUFA4 NDUFA5
ASB3 FBXW5
HLA-B HLA-E
SUPT4H1 INTS8
ACTN2 TMOD4
TRIM21 FBXO11
TYROBP MCEMP1
CD3D HLA-DRB1
A2M ARHGEF10
OR2C3 OR4K13
PPP2R1B PPP2R5B
GBP2 MX1
PSMD3 FBXO7
PSMD7 PSME3
RNF14 MKRN1
FMNL1 PPP2CA
RPSA RPL36A
ERCC8 DCUN1D1
POLR2I POLR2J
XRCC6 SLCO4C1
RPL18 UTP11
PCBP2 NLRX1
SRSF5 THOC7
KLHL3 FBXW8
ZNF562 ZNF605
PSMB6 PSMC3
GHRHR PDE7B
RPL4 RPL26
H2AC6 RAD50
RPL19 RPL28
PSMA1 RNF220
ELANE SPP1
GTF2F2 POLR2C
GRM2 TAS1R3
SRSF5 EIF4A3
DCTN3 HAUS1
RPS14 EXOSC4
CENPQ TAOK1
HAUS6 HAUS7
OR2H1 OR4C3
MRPL2 MRPL37
NUP50 NUP160
SMAD3 USP14
CCNH SUPT4H1
PIP4K2A PLEKHA3
CORT CXCL9
HDAC3 MED25
FBXW2 TRIM50
BPI MLEC
ATG7 FAM114A2
H2BC10 H4C4
ADAM8 VAPA
E2F5 PPP2R3B
EFNA4 EFNB1
AP2M1 DCTN3
CDK1 PSMD8
NUP88 TPR
AREG FGFR4
CLTC TUBB6
HSPA6 GSDMD
MIS12 NUP43
KRT84 LCE3C
RHOA RNF135
MGAM GLIPR1
TRAF6 FGF17
GTF2A1 GTF2F1
OR4F17 OR2M5
RHO S1PR4
UTP18 UTP11
H3C4 H2BC11
NDUFB7 NDUFA11
KNTC1 CDCA8
CDKN2B AGO3
OR1E2 OR2AT4
UBE2D3 FBXO6
UBC TGOLN2
CYP1A1 APOA5
AURKB CHEK2
MRPL4 MRPL16
HSP90AA1 H2BC6
H2BC18 H3C13
RAB1A ACTR10
H2AX H2BC4
CDCA5 NUP43
LEP PPARG
SATB2 H4-16
DNASE1L1 HSPA1B
TAB2 TAB3
FZD2 PTH
KRT24 KRTAP13-2
PSMB5 RELB
NEDD1 TPTEP2-CSNK1E
KRT14 SPINK5
PCBP1 PCBP2
SCNN1D SLC9C1
PSME1 CUL1
PNP METTL7A
AAAS CBX4
TGFA H4-16
956533 956535
COL9A1 PTPRS
RPS27A USP17L28
GNB2 GNG3
VAV1 MCF2L
ATP6V1B1 MLST8
OR5D14 OR10G9
DOCK5 DOCK11
CD53 CLEC12A
RAB1A COG6
H2AC17 ELP2
EPS15 AAK1
KRT9 KRT75
ITGA5 ITGB1
LRRC41 PUM2
CCP110 MAPRE1
OR51E1 OR8U3
GPS2 TNRC6A
PSMD7 PSME2
ZNF658 ZNF77
CDKN2D H2AC20
ADCY6 GPR150
KRTAP23-1 KRTAP19-7
DAB2 PIK3C2A
MED15 ZNF736
PSMD10 ASB10
HRAS KRAS
RPS27A UBB
PSMC6 SPRED1
MAF ZNF521
MDM2 RHOT1
RAB5B NBEAL2
UBB TAF7L
POLR2K AGO3
PDXK ATP6V1D
NFKB2 IKBKG
SIRT3 CRTC3
ABCA3 ADA2
MSI1 RPS27
ITGB2 LUM
APBB1 UIMC1
TRAF6 PSMD14
GPC1 SDC2
GPS1 SPSB4
H4C13 ACTL6B
ARF1 DCTN4
CBFB H4C5
CD19 PPP2R5B
PSMB10 PSMA8
PPIL4 ISY1-RAB43
CD59 NCSTN
OR8J1 OR52D1
H3C1 NCOA2
FBXW11 FBXW9
MCM3 ORC5
FGB FN1
NCOA6 SIRT4
MEF2C TCF12
OR5L1 OR6C75
HDAC3 FBXW7
COL4A3 COL28A1
OPRD1 PCP2
SERPING1 PPIA
FGF2 RORC
NPFFR2 QRFPR
RNASET2 RAB24
PSMB2 RPS4X
RPS27A SYT8
ANAPC10 UBE3B
PTK2 FGF19
RPL6 PABPC1
MECP2 HDAC3
EPHB2 LYN
H2BC13 H4C2
H3-3B H2BC11
PSMD12 PSMF1
RPL31 RPL39L
SUMO2 TFAP2B
CTNNB1 PLCB2
ITGA2B AGGF1
HERC1 SPSB4
RPL10A UTP14A
ZNF430 ZNF300
MT-CO3 LAMTOR3
RAB1A RAB7A
EEF2 S100A9
H4C4 H4C14
DSC1 PSMA2
ATP2A2 KCNJ11
MRPL30 MRPS23
RAB35 RAB31
GNB2 TAS2R38
ZNF337 ZNF655
INCENP PSMB10
H4C8 SUPT3H
RFC4 POLE3
SNAP25 DYNLL1
COL6A2 PDGFB
PSME3 TAB3
AGTR1 CLTC
GNGT2 GHRL
PSMB9 PSMD12
CGA KIT
H2BC15 RTF1
EIF1AX RPL13
WNK3 BEST4
HTR6 VIPR2
UBE2G1 RNF213
CBFB H3-3A
RHOA RHOU
CD52 LYPD4
PSMB8 USP47
ROCK1 TIMP2
COPE TUBA8
FOLR3 HVCN1
TFB2M CHD9
EIF3A EIF3B
TUBA8 TUBAL3
USP7 H2BC18
MEX3C UBR1
ZNF282 ZNF354B
RPS12 956532
CTSZ SEC13
PLD1 SNAP29
RXRA NCOR2
RPS2 NCBP2
PSMA7 PSMC1
DCAF16 CCDC8
TMED7 TUBA1C
BTBD6 FBXL13
PLA2G2A PLA2G4E
SEM1 H4-16
ATP6V1D CAND1
RPL5 EIF3M
PSMD2 H2AC12
GJA5 TUBA1B
TUBB2A KLC3
MAPK1 VAV1
RPL36AL RPS23
IRF3 TRIM25
FUCA1 MVP
PRKACG AGO2
PPP2CA TUBA1C
NUP205 NUP210
SSNA1 HAUS2
MIOS ITFG2
KIF22 KIF2B
TNFAIP3 TRIM25
HLA-DPB1 HLA-DQB2
CDC20 PSMB3
EGFR PIK3CA
H3-3A H4C9
RAD51C RMI1
PSMD5 BTRC
DHX16 DDX23
ARHGAP25 ARHGAP20
NDUFS1 UQCRH
BDKRB1 APLN
OR7G1 OR8G5
PSMA5 UBB
LDLR COPS3
H2AC14 H2BC8
TUBA1B KIF26B
